run_id,name,split,scope,metric,value,inter,union,n_valid
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
segformer__pretrained__mit-b0__in_rover__seed1415__gpu_full__deee6903__gitc188b320__codebebd8b2d__20260714T034231967203Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.9851056037113906,8069,8191,22748
